geracao_id,client_id,client_name,limite_id,mes_referencia,tipo_entrega,origem_geracao,solicitado_por,responsavel_operacional,status_geracao,status_anterior,ocupa_limite_operacional,consumo_definitivo,libera_espaco,confirmacao_interna_liberacao,motivo_alteracao,link_resultado_drive,prompt_interno_id,observacao,data_status,data_criacao,data_atualizacao
529ee330-03f5-473d-8ee2-e2e8a8c9fb91,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60299","46210,60299","46210,60299"
0018dc10-17fd-4ee3-9717-0b25ec16e03f,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60304","46210,60304","46210,60304"
516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,,,46204,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,"46210,67295","46210,67295","46210,67295"
516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,,,46204,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,"46210,67318","46210,67318","46210,67318"
516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,,,46204,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,"46210,67339","46210,67339","46210,67339"
FLUXAI_LABS_001-b46de651,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,67406","46210,67406","46210,67406"
516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,,,46204,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,"46210,6963","46210,6963","46210,6963"
FLUXAI_LABS_001-5cfb16b0,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,69675","46210,69675","46210,69675"
FLUXAI_LABS_001-5cfb16b0,FLUXAI_LABS_001,,,46204,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,"46210,71485","46210,71485","46210,71485"
FLUXAI_LABS_001-5fafeaa7,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,2026-07,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,07/07/2026 17:14:03,07/07/2026 17:14:03,07/07/2026 17:14:03
FLUXAI_LABS_001-5fafeaa7,FLUXAI_LABS_001,,,2026-07,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,07/07/2026 17:30:20,07/07/2026 17:30:20,07/07/2026 17:30:20
FLUXAI_LABS_001-f54e3c88,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,2026-07,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,07/07/2026 17:35:37,07/07/2026 17:35:37,07/07/2026 17:35:37
FLUXAI_LABS_001-f54e3c88,FLUXAI_LABS_001,,,2026-07,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,07/07/2026 17:56:05,07/07/2026 17:56:05,07/07/2026 17:56:05
FLUXAI_LABS_001-f66b45a7,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,2026-07,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,07/07/2026 17:56:22,07/07/2026 17:56:22,07/07/2026 17:56:22
FLUXAI_LABS_001-f66b45a7,FLUXAI_LABS_001,,,2026-07,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,07/07/2026 18:13:35,07/07/2026 18:13:35,07/07/2026 18:13:35
FLUXAI_LABS_001-34ea3117,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,2026-07,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,07/07/2026 18:13:50,07/07/2026 18:13:50,07/07/2026 18:13:50
2fb446d0-46b7-491e-8819-976fcc9639b1,FLUXAI_LABS_001,,,2026-07,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,07/07/2026 18:29:47,07/07/2026 18:29:47,07/07/2026 18:29:47
FLUXAI_LABS_001-f96a20db,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,2026-07,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,07/07/2026 18:30:02,07/07/2026 18:30:02,07/07/2026 18:30:02
